,number,value,params_df_max_layers,params_df_min_samples_leaf,params_df_n_trees,state
364,364,0.5026032393391912,45,1,260,COMPLETE
365,365,0.5023365811638563,39,1,208,COMPLETE
366,366,0.5028273099136835,43,1,252,COMPLETE
367,367,0.5006046741661067,36,1,244,COMPLETE
368,368,0.5119730111700979,46,3,242,COMPLETE
369,369,0.503311234313357,44,1,248,COMPLETE
370,370,0.5036645941680614,41,1,228,COMPLETE
371,371,0.5043465434838871,46,1,240,COMPLETE
372,372,0.5026481520850411,45,1,234,COMPLETE
373,373,0.5024687014478473,48,1,150,COMPLETE
374,374,0.5034047552351938,49,1,246,COMPLETE
375,375,0.5028273099136836,46,1,252,COMPLETE
376,376,0.5006046741661067,41,1,244,COMPLETE
377,377,0.5006046741661067,39,1,244,COMPLETE
378,378,0.5006046741661067,37,1,244,COMPLETE
379,379,0.5040499777161132,37,1,238,COMPLETE
380,380,0.5040503432779594,42,1,250,COMPLETE
381,381,0.5118285217268084,44,3,258,COMPLETE
382,382,0.5040499777161132,44,1,238,COMPLETE
383,383,0.5639263452828495,47,13,248,COMPLETE
384,384,0.5036991114710622,48,1,232,COMPLETE
385,385,0.5043465434838871,46,1,240,COMPLETE
386,386,0.5020990537938408,47,1,242,COMPLETE
387,387,0.5461450635517822,49,9,254,COMPLETE
388,388,0.5034047552351938,41,1,246,COMPLETE
389,389,0.5033112343133569,46,1,248,COMPLETE
390,390,0.5124509968156105,15,3,236,COMPLETE
391,391,0.5040503432779594,43,1,250,COMPLETE
392,392,0.5020990537938408,50,1,242,COMPLETE
393,393,0.5020990537938408,40,1,242,COMPLETE
394,394,0.5026930728123443,49,1,110,COMPLETE
395,395,0.5025678434965438,48,1,256,COMPLETE
396,396,0.5040499777161133,49,1,238,COMPLETE
397,397,0.5034047552351938,47,1,246,COMPLETE
398,398,0.5028273099136836,42,1,252,COMPLETE
399,399,0.5128182265503428,45,3,248,COMPLETE
400,400,0.5026481520850411,47,1,234,COMPLETE
401,401,0.5020990537938408,48,1,242,COMPLETE
402,402,0.5034047552351938,18,1,246,COMPLETE
403,403,0.5027815339601585,45,1,230,COMPLETE
